"CODE MR241705 : Red pure cotton unstitched salwar material, original bandhani work all over (lining needed)matching original bandhini pure cotton bottom,bandhani dupatta with cut work edges","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT.
",M/S NEIDHAL,"pure cotton unstitched salwar material, original bandhani work all over, matching original bandhini pure cotton bottom,bandhani dupatta with cut work edges",Red,2 item left in Stock,"₹1,099"
"CODE AP240805 : Pastel blue linen cotton unstitched salwar material ,thread & sequins work on yoke, floral printed all over(thin,lining needed)matching lining provided , NO BOTTOM, fancy organza dupatta with lace tapings","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,Salwar Materials,Pastel blue,,"₹1,249"
"CODE AP240801 : Designer light grey pure organza unstitched salwar material, rich work on yoke, zari buttas on front(thin, lining needed)matching santoon bottom, dual shaded pure organza dupatta with zari woven border","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,Salwar Materials,Light Grey,XL,"₹1,899"
"CODE AP240806 : Black hakoba semi spun cotton unstitched salwar material,kalamkari printed on yoke,cut work & thread detailing on front(lining needed)kalamkari printed cotton bottom, kalamkari printed pure cotton dupatta","FABRIC MEASUREMENT
Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS
1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING
Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.
IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,Salwar Materials,Black,Ideally should fit up to XL size,"₹1,299"
"CODE AP240803 : Pastel peach linen cotton unstitched salwar material ,thread & sequins work on yoke, floral printed all over(thin,lining needed)matching lining provided , NO BOTTOM, fancy organza dupatta with lace tapings","FABRIC MEASUREMENT
Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS
1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING
Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.
IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,"Linen cotton unstitched salwar material ,thread & sequins work on yoke, floral printed all over(thin,lining needed)matching lining provided , NO BOTTOM, fancy organza dupatta with lace tapings",Pastel peach,2 item left in Stock,"₹1,249"
Helpful JSON Assistant,"I am a helpful assistant that outputs in JSON format. I can assist with a variety of tasks, such as answering questions, providing information, and performing light data processing or analysis. I am designed to be easy to use and integrate into other systems, and I am committed to providing accurate and helpful responses in a timely manner.",OpenAI,assistant,clear,1 unit,Free
"CODE AP240807 : Black hakoba semi spun cotton unstitched salwar material,kalamkari printed on yoke,cut work & thread detailing on front(lining needed)kalamkari printed cotton bottom, kalamkari printed pure cotton dupatta","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING
Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.
IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT.
",M/S NEIDHAL,"unstitched salwar material with printed yoke, cut work and thread detailing, paired with kalamkari printed cotton bottom and pure cotton dupatta",,,"₹1,299"
"CODE AP240808 : Black hakoba semi spun cotton unstitched salwar material,kalamkari printed on yoke,cut work & thread detailing on front(lining needed)kalamkari printed cotton bottom, kalamkari printed pure cotton dupatta","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.

2. Prewash Handloom fabrics before stitching.

3. Mild separate hand wash( no brushing or machine wash) for initial few washes.

4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.

5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.

6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,Salwar Materials,Black,1 item left in Stock,"₹1,299"
"CODE AP240812 :Light green with golden tint tissue silk cotton unstitched salwar material, thread detail on yoke(thin, lining needed)matching silky bottom, floral printed tissue silk cotton with gold tissue borders","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,"tissue silk cotton unstitched salwar material, thread detail on yoke(thin, lining needed)matching silky bottom, floral printed tissue silk cotton with gold tissue borders",Light green with golden tint,1 item left in Stock,"₹1,379"
"CODE AP240813 : Pastel pink with golden tint tissue silk cotton unstitched salwar material, thread detail on yoke(thin, lining needed)matching silky bottom, floral printed tissue silk cotton with gold tissue borders","FABRIC MEASUREMENT
Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres.
Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS
1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING
Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped.
During festival season, please expect delays as courier companies operate with minimum capacity.
IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,Salwar Materials,Pastel pink with golden tint,Ideally should fit up to XL size,"₹1,379"
