Product ID,Title,Availability,Price,Description,Image Source,Product URL
TGT: TGT-CORP-56 - White Wine Deli Luxury Hamper,A Special Treat For You Gift Hamper,In Stock,£118.00,"['Cotes de Gascogne Sauvignon Blanc (75cl)', 'Cartwright & Butler Strawberry Jam (200g)', 'Cartwright & Butler Finest Marmalade (200g)', 'Sugar Soul Chocolate Covered Orange Peel (223g)', 'James Patricks Liquorice Mix (190g)', 'Cartwright & Butler Cranberry & Rolled Oats (200g)', 'Alchemy Tea Howick Earl Grey, infuser and bag (approx. 30 cups)', 'YOKOKO Raspberry Burst Luxury Dark Chocolate (100g)', 'YOKOKO Lime & Chilli Luxury Dark Chocolate (100g)', 'Luxury Gift Basket']",https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2023-gift-hampers/a-special-treat-for-you-gift-hamper-uk-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/a-special-treat-for-you-gift-hamper-uk
SOH: H23112 - Tea & Treats Gift Box,Afternoon Tea For Two Gift Hamper,Out Of Stock,£45.00,"['Walkers Chocolate Dessert Collection 120g', 'Cartwright & Butler Classic Earl Grey 10’s 30g', 'Cartwright & Butler English Afternoon Tea 10’s 30g', 'Original Cake Co. Cherry & Almond Topped Slab Cake', 'Bon Bon’s Gourmet Shortbread Thins 150g', 'Thursday Cottage Strawberry Preserve 112g', 'Bon Bon’s Cherry Bakewell Fudge 100g', 'Cottage Delight Clotted Cream 85g', 'Bon Bon’s Gourmet Viennese Biscuits 150g', 'Packed in Wicker Look Gift Box']",https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2023-gift-hampers/afternoon-tea-for-two-home-delivery-gift-hamper-uk-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/afternoon-tea-for-two-home-delivery-gift-hamper-uk
SOH: H23022 - Elegance Sparkling (Alcohol Free),Alcohol-Free Shimmer Gift Hamper,In Stock,£60.00,"['Bottega White Zero Alcohol 75cl', 'Hamlet Praline Collection 100g', 'Mr Filbert’s Rose Harissa Peanuts 100g', 'Monty Bojangles Choccy Scoffy Truffles 100g', 'Buiteman’s Sun Dried Tomato Biscuits 75g', 'White Swirl Chocolate Bar 80g', 'Bon Bon’s All Butter Fudge 100g', 'Eternal Grocer Dark Chocolate Coated Shortbread 70g', 'Original Cake Caramel & Pecan Fruit Cake', 'Cartwright & Butler Chocolate Wafer Rounds 120g', 'Packed in a Gold Festive Gift Box']",https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2023-gift-hampers/alcohol-free-shimmer-gift-hamper-uk-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/alcohol-free-shimmer-gift-hamper-uk
TGT: TGT.CORP.23 - Confectioners Luxury Gift Box,Birthday Sweet Treats Gift Hamper,In Stock,£50.00,['Van Roy 18 Artisan Chocolate Truffles (285g)\r\nJames Patricks Strawberry Bon Bons (190g)\r\nYOKOKO Lime & Chilli Luxury Dark Chocolate (100g)\r\nFlower & White Meringue Kisses (100g)\r\nLuxury Gift Hamper Box \r\nGift Tag & Message\r\nFree UK Delivery'],https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2023-gift-hampers/birthday-sweet-treats-gift-hampers-uk-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/birthday-sweet-treats-gift-hampers-uk
TGT: TGT-RE-HB1 - Happy Birthday Box of Treats,Birthday Sweetness Gift Hamper,In Stock,£42.00,"['Elizabeth Shaw Salted Caramel Milk Chocolate Biscuits (150g)', 'YOKOKO Happy Birthday Luxury Milk Chocolate (100g)', 'James Patricks Strawberry Bon Bons (190g)', 'Rainbow Drops (32g)', 'Love Hearts Dip (23g)', 'Popcorn Shed Birthday Cake (24g)', 'Gingerbread Jack (25g)', 'Craft Delivery Box']",https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2023-gift-hampers/birthday-sweetness-gift-hamper-uk-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/birthday-sweetness-gift-hamper-uk
VH: 83952 - The Ultimate,Celebrate In Style Gift Hamper,In Stock,£225.00,"['Cambrook Brilliantly Caramelised Sesame Peanuts 80g\xa0 ℮', 'Cartwright & Butler Chocolate Wafer Rounds 120g\xa0 ℮', 'Cartwright & Butler English Breakfast Tea 90g\xa0 ℮', ""Claire's Handmade Apricot & Apple Chutney 200g\xa0 ℮"", ""Claire's Handmade Fine Cut Orange Marmalade 227g\xa0 ℮"", 'Edinburgh Tea & Coffee Company Medium Roast Ground Coffee 113g', ""Fionagh's Original Sourdough Crackers 100g"", ""Frank's Luxury Orange & Milk Chocolate Dipped Shortbread 150g\xa0 ℮"", ""Guppy's Dark Chocolate Orange Shards 90g\xa0 ℮"", 'Linden Lady Decorated Milk Chocolate Marshmallows 125g', 'Love Popcorn Chocolate Orange 100g\xa0 ℮', ""Martin's Chocolatier 16 Delicious Signature Chocolates 224g"", 'Maxwell & Franks 5.5"" Round Chocolate Cake 495g', 'Mighty Fine Salted Caramel Honeycomb Dips 90g\xa0 ℮', ""Mr Filbert's Sweet Chilli Rice Crackers 40g"", 'Olives Et Al Rich Shallot & Orange Dressing & Marinade 250ml\xa0 ℮', 'Olives Et Al Verde Green Olives 150g', 'Radfords Handmade West Country Crumbly Butter Fudge 100g', 'Rendles Mini Cheese Twists with Gouda & Edam 100g', 'Yorkshire Crisps Worcester Sauce 150g\xa0 ℮', 'Belle & Co Alcohol Free Sparkling Brut 75cl\xa0 ℮', 'Chardonnay Pinot Grigio The Black Stump Australia 75cl 12.5% vol ℮', 'Durif Shiraz The Black Stump Australia 75cl\xa0 ℮', ""Prosecco Brut Ca'Vescovo Italy 75cl 11% vol ℮"", 'Traditional Lidded Wicker Basket', 'Gift Message Tag', 'Free UK Delivery']",https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2024-gift-hampers/celebrate-in-style-gift-hampers-uk-2024-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/celebrate-in-style-gift-hamper-uk
VH: 82304 - Wine & Cheese Slate,Cheese and Wine Deli Slate Gift Hamper,In Stock,£50.00,"['Arran Fine Foods Tomato & Red Pepper Chutney 185g\xa0 ℮', 'Long Clawson Blue Stilton Wedge 150g', 'MOR Wholemeal Spelt & Sourdough Snap Crackers 115g\xa0 ℮', 'The Mouse House Finest Vintage English Cheddar Truckle 200g', 'The Mouse House Red Leicester Truckle 190g', 'Cabernet Sauvignon MG Estate 37.5cl 13% vol ℮', 'GIFT ITEM: Slate 30cm x 20cm', 'Gift message', 'Transit safe packaging']",https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2024-gift-hampers/cheese-and-wine-deli-dream-gift-hamper-uk-2024-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/cheese-and-wine-deli-slate-gift-hamper-uk
SOH: H23132 - Chocolate Tower,Chocolate Mountain Gift Hamper,In Stock,£59.00,"['Love Popcorn Double Chocolate Popcorn 100g', 'Gnaw Mochaccino Hot Chocolate Stirrer 45g', 'Milk Chocolate Star 50g', 'Mighty Fine Sicilian Lemon White Chocolate Honeycomb Bar 30g', 'Lily O’Brien’s Creamy Caramel & Sea Salt 120g', 'Mr Filbert’s Chocolate Orange Nut Mix 75g', 'Bon Bon’s Chocolate Orange Fudge 160g', 'Reids Chocolate Chunk Shortbread 150g', 'Monty Bojangles Choccy Scoffy Truffles 100g', 'Cartwright & Butler Chocolate Wafer Rounds 120g', 'Miss American Pie Boston Cream Pie Cookies 45g', 'Gnaw Dark Chocolate Bar 100g', 'Packed in a Brown Gift Box']",https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2023-gift-hampers/the-chocolate-mountain-gift-hamper-uk-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/chocolate-mountain-gift-hamper-uk
TGT: TGT-CORP-52 - VIP Luxury Hamper,Fantastic Connoisseur Feast Gift Hamper,In Stock,£182.00,"['Mendoza Malbec (75cl', 'Adalina Italia Prosecco (75cl)', 'Cartwright & Butler Water Biscuits (150g)', 'Cartwright & Butler Cheese Crumbles (75g)', 'Shas Fig & Honey Chutney(240g)', 'Sugar Soul Chocolate Covered Coffee Beans (238g)', 'Cartwright & Butler Chocolate Drop Shortbread Rounds (200g)', 'James Patricks Jelly Beans (170g)', 'James Patricks Strawberry Bon Bons (190g)', 'Life & Soul Coffee Brew Bags (9g) x 2', 'Cambrook Caramelised Cashews (80g)', 'Cartwright & Butler Chutney (240g)', 'Atkins & Potts Chipotle Chili Dipping Sauce (130ml)', 'Cartwright & Butler Mixed Nuts (90g)', 'Highfields Preserves Chili Jam (220g)', 'Luxury Gift Hamper Basket']",https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2023-gift-hampers/the-fantastic-connoisseur-feast-gift-hamper-uk-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/fantastic-birthday-feast-gift-hampers-uk
TGT: TGT-CORP-48 - Sweet Tooth Gift Box,Get Well Sunshine Gift Hamper,In Stock,£50.00,"['All Around The Fire Hot Chocolate Stick (37g)', 'Borders Lemon Drizzle Melts (150g)', 'Devine Dark Chocolate Bar (35g)', 'James Patricks Jelly Beans (230g)', 'Mini Gingerbread Man', 'Sugar Soul Honeycomb Shards (75g)', 'YOKOKO Honeycomb Luxury Milk Chocolate (100g)', 'Luxury Gift Hamper Box']",https://www.gifthampersuk.co.uk/image/cache/catalog/products-ghuk/2023-gift-hampers/get-well-sunshine-gift-hamper-uk-651x800.jpg,https://www.gifthampersuk.co.uk/food-hampers/get-well-sunshine-gift-hamper-uk
